rn	type	text
190803	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
190804	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
190805	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
190806	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
190806	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
190807	I	<par>Loan from Chinese, cf. Chinese hǎijiāo 海椒 &apos;sea (foreign) pepper&apos; or perhaps hǎizǐ 海子 &apos;sea (foreign) -nom&apos;.</par>
190808	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
190809	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
190810	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
190814	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
190816	I	<par>Possible loan from Indo-Aryan; cf. forms like Hindi mirich.</par>
190817	I	<par>Loan from Thai.</par>
190818	I	<par>Loan from Chinese, cf. Chinese làzǐ 辣子 &apos;hot pepper&apos;.</par>
192317	T	<par>The second syllable of Lahu &apos;mouth&apos; occurs in several other words <latinform>làʔ=tɔ-qɔ</latinform> &apos;palm of the hand&apos;, <latinform>mə̂-<emph>qɔ</emph></latinform> &apos;lip&apos;, <latinform>mû-lɔ̀ʔ-qɔ</latinform> &apos;daytime; afternoon&apos;, and is glossed &apos;noun formative of elusive meaning&apos;. For now, however, we are assigning it to the present root.</par>
192654	I	<par>The initial of the second syllable is apparently a rhotacism from d-; cf. Ganan <latinform>kr̀dblquote adɔʔ⁴</latinform> ‘neck’ (164268).</par>
192707	I	<par>Note that it is probably not plausible to tag this form differently from the Geman form <latinform>go³¹ɹoŋ³⁵</latinform> (39873), which has been tagged as a monomorphemic form 489.</par>
192783	I	<par>For alternative etymologies, see STC notes 102, 109, 137. The Jingpho word for ‘hand’ (<latinform>lətáʔ</latinform> in the STC’ s notation) may be monomorphemically from *lak or *glak.</par>
192872	I	<par>bad bolding in LaTeX</par>
192893	T	<par>Note the assimilation of the medial consonants in rGyalrong <latinform>jɐŋ mki</latinform>.</par>
193082	T	<par>This form is also cited in DL:852 as <latinform>pɛ̀-pɨ</latinform> ‘crop of bird; (human) breast, chest’. It is co-allofamic with <latinform>pɛ̀-pì(-qu)</latinform> ‘chicken’s breast’ (cf. also <latinform>pɛ̀-qu</latinform> ‘goiter’).</par>
