word	rn	semcat	subcat	semkey
ALLAY	6	Vpsi	5d/2.3.1	8.3.2.3.1
ALLEY	2	Num	6h/	9.9
ALLIGATOR	2	Num	6h/	9.9
ALLOTMENT	8	Num	6h/	9.9
ALLOW	32	Vsoc	4f.1/	6.19
ALLOWED	26	Vsoc	4f.1/	6.19
ALLOY	4	Nnat	2c.1/5	3.2.4
ALLURE	8	Vpsi	5d/2.7.1	8.3.2.7.1
ALLUVIUM	2	Nnat	2c.1/12	3.2.11
ALLY	2	Nsoc	9d/	5.8
ALMOST	16	Num	6h/	9.9
ALOES	4	x	x/	x.x
ALOFT	2	Vadj	5c/5.3	7.1.5.3
ALONE	32	Vadj	5c/6.1	7.1.6.1
ALONG	48	Spat	6j/8	9.2.8
ALONGSIDE	2	Spat	6j/8	9.2.8
ALOUD	8	Vutt	5f/4.1	8.5.4.1
ALPINE	2	Nnat	2c.1/6	3.2.5
ALREADY	14	G	8/1	10.1
ALREADY!	2	G	8/1	10.1
ALRIGHT	6	G	8/1	10.1
ALSO	162	G	8/1.2.1	10.1.2.1
ALTAR	12	Ncult	9d/	5.8
ALTER	10	Vcos	6c/	9.5
ALTERNATIVE	2	Vcos	6c/	9.5
ALTITU	2	Error	x/	x.x
ALTITUDE	2	Spat	6j/7	9.2.7
ALTOGETHER	2	Vabst	5b/	8.2
ALUMINUM	8	Nnat	2c.1/5	3.2.4
ALWAY	0	Error	x/	x.x
ALWAYS	28	Ntime	6i/	9.1.1
AM-4	12	Error	x/	x.x
AMARANTH	6	Nveg	2b.1/4.1	3.1.7
AMAS	0	Error	x/	x.x
AMASS	8	x	x/	x.x
AMAZED	2	Vadj	5c/1	7.1.1
AMBASSADOR	2	Nhum	3a/5	4.2.5
AMBER	6	Nnat	2c.1/9	3.2.8
AMBIENT	2	Spat	6j/3	9.2.3
AMBUSH	10	Vfigh	4b.2/	6.5
AMHERSTIA	2	Nveg	2b.1/3.1	3.1.4
AMIABLE	2	Vadj	5c/3.1	9.6.1.2
AMIDST	4	Spat	6j/5	9.2.5
AMILO	2	Error	x/	x.x
AMIS	0	Error	x/	x.x
AMISS	9	Vadj	5c/3.1	9.6.2.1
AMNIOTIC FLUID	52	Nbp	1a/9.3.4.2	1.9.6.3
AMNIOTIC SAC	2	Nbp	1a/9.3.4.2	1.9.6.3
AMONG	86	Spat	6j/5	9.2.5
AMOUNT	24	Num	6h/	9.9
AMPHORA	2	Ncont	9a/	5.11.1
AMPLE	12	Vadj	5c/2.1	7.1.2.1
AMRITA	2	Nrel	9d/2.3	5.8.2.3
AMUSE	36	Vpsi	5d/1.5.1	8.3.1.5.1
AMUSED	2	Vpsi	5d/1.5.1	8.3.1.5.1
AMUSEMENT	2	Vpsi	5d/1.5.1	8.3.1.5.1
AM	2	Error	x/	x.x
ANACARDIA	440	Nveg	2b.1/3.1	3.1.4
ANAL	3	Nbp	1a/4.10.2	1.4.10.2
ANALYZE	2	Nbp	1a/4.10.2	8.3.1.13.1
ANAT.	2	Ncult	9d/	5.8
ANCESTO	8	Error	x/	x.x
ANCESTOR-WORSHI	58	Error	x/	x.x
ANCESTORS	10	Nkin	3b/1	4.7.1
ANCESTOR|	2	Error	x/	x.x
ANCESTRAL	4	Nkin	3b/1	4.7.1
ANCESTRE	0	Error	x/	x.x
ANCESTRESS	2	Nkin	3b/1	4.7.1
ANCIENT	18	Ntime	6i/4	9.1.5
AND	1156	G	8/1.2.1	10.1.2.1
AND SO	2	G	8/1.2.1	10.1.2.1
