word	rn	semcat	subcat	semkey
IMMEDIATELY	16	Ntime	6i/	9.1.1
IMMERSE	18	Vliq	4b.3/	6.6
IMMERSED	2	Vliq	4b.3/	6.6
IMMODEST	4	Vadj	5c/3.1	9.6.2.2
IMMORTAL	2	Nrel	9d/1.3	5.8.1.3
IMP	6	Nhum	3a/11.2	4.2.12.2
IMPALE	4	Vcut	4c.4/2	6.9.3
IMPART	2	Vact	4a/2.1	6.2.2.1
IMPEDE	10	Vharm	4b.1/	6.4
IMPEDED	2	Vharm	4b.1/	6.4
IMPENDENT	2	Error	x/	x.x
IMPENETRAB	2	Error	x/	x.x
IMPER	4	Error	x/	x.x
IMPERATIVE	16	G	8/	10.4.2.1
IMPERFECT	2	Vadj	5c/	10.0
IMPETU	0	Error	x/	x.x
IMPETUS	2	Nabst	5a/	8.1
IMPLANT	2	Vput	4e.3/	6.17
IMPLEMENT	8	Ntool	9a/4	5.11.5.4
IMPLEMENTS	4	Ntool	9a/4	5.11.5.4
IMPLICIT	2	Vadj	5c/8.3	
IMPLORE	4	Vutt	5f/7.2	8.5.7.2
IMPLYING	2	Vutt	5f/16	8.5.16
IMPOLITE	2	Ncult	9d/	5.13
IMPORT	4	Vact	4a/2.1	6.2.2.1
IMPORTANCE	2	Vadj	5c/7.1	8.1
IMPORTANT	26	Vadj	5c/7.1	7.1.7.1
IMPORTANTMA	0	Error	x/	x.x
IMPORTUNE	2	Vutt	5f/16	8.5.16
IMPOSE	2	Vabst	5b/	8.2
IMPOSSIBLE	8	Vadj	5c/8.3	9.6.2.1
IMPOTENCE	2	Nbp	1a/9.2.2	1.9.6.5
IMPOTENT	2	Nbp	1a/9.2.2	1.9.6.5
IMPOVERISHED	6	Vadj	5c/3.1	9.6.2.2
IMPRESSIVE	2	Vadj	5c/7.1	7.1.7.1
IMPRISON	14	Ndwel	9c/1	5.11.9.1
IMPRISONMENT	2	Ndwel	9c/1	5.11.9.1
IMPROPER	2	Vadj	5c/3.1	9.6.2.2
IMPROVE	6	Vcos	6c/	9.5
IMPUDENT	2	Vadj	5c/8.2	9.6.2.2
IMPURE	10	Vadj	5c/8.2	9.6.2.1
IN	3284	G	8/1.1	10.1.1
IN LAW	818	Nkin	3b/4	4.7.4
IN LAWS	6	Nkin	3b/4	4.7.4
IN LAW	2	Error	x/	x.x
IN-DIFFERENT	0	Vpsi	5d/	8.3
IN-LAW	0	Nkin	3b/4	4.7.4
IN-LAWS	0	Nkin	3b/4	4.7.4
INADHESIVE	4	Vjoin	4d.2/1.2	6.13.2
INAN	2	Error	x/	x.x
INANIMATE	8	G	8/	10.0
INAUSPICIOUS	2	Nrel	9d/1.3	5.8.1.3
INCANT	4	Error	x/	x.x
INCANTATION	8	Ncult	9d/	5.8
INCAPABLE	2	Vadj	5c/3.1	9.6.2.2
INCAPACITATED	2	Vadj	5c/3.1	9.6.2.2
INCENSE	50	Ncult	9d/	5.8
INCENTIVE	2	Nabst	5a/	8.1
INCEPTIVE	2	G	8/	10.0
INCESSANTLY	20	Vadj	5c/2.1	9.1.1
INCESTUOUS	2	Nkin	3b/5	4.7.5
INCHOATIVE	118	G	8/	10.0
INCHWORM	2	Nanim	2a.1/14	2.2.6
INCINERATE	0	Vburn	2c.2/	3.2.12.1
INCIPIENT	8	Vadj	5c/8.3	
INCIPIENTLY	2	Vadj	5c/8.3	
INCISIVE	2	Vadj	5c/8.3	
INCISOR	4	Nbp	1a/3.4	1.3.4
INCL	2	Error	x/	x.x
INCLINATION	2	Vpsi	5d/1.1.1	8.3.1.1.1
INCLINE	4	Vadj	5c/5.3	9.2.1
INCLINED	8	Vpsi	5d/1.1.1	8.3.1.1.1
INCLOSE	2	Nloc	6k/4.0	9.10.5
INCLUDE	10	Vabst	5b/	8.2
INCLUDING	2	Vabst	5b/	
INCLUSIVE	4	G	8/	10.0
INCOMPETENT	2	Vadj	5c/3.1	9.6.2.2
INCOMPLETE	2	Vcos	6c/	9.5
INCREASE	68	Vcos	6c/	9.5
INCUBATE	34	Vbp	1b/9.3.3	1.9.1.2
INDECENT	4	Vadj	5c/3.1	9.6.2.2
INDEED	2	G	8/	10.0
INDEFINITE	6	Vadj	5c/8.3	10.0
INDEMNIFY	2	Vexch	4f.4/	6.22
INDEMNITY	104	N$	9d/	5.9
INDENTED	2	Vshiz	6f/	9.7.2
INDEX	74	Nbp	1a/	1.0
INDEX FI	1	Error	/	x.x
INDIAN	20	Nhum	3a/1	4.6
INDICATE	6	Vabst	5b/	8.2
INDICATING	2	Vabst	5b/	
INDIGENT	2	Nhum	3a/7.1	4.2.7
INDIGO	26	Nveg	2b.1/1.2	3.1.2
INDIRECT	4	Vadj	5c/10	10.0
INDIRECTLY	2	Vadj	5c/10	7.1.8.3
INDISCRETION	0	Nabst	5a/	8.1
INDISCRETIONS	4	Nabst	5a/	8.1
INDISCRIMINATE	2	Vadj	5c/3.1	
INDISTINCTLY	2	Vadj	5c/10	7.1.4.1
INDIVIDUAL	8	Nhum	3a/13	4.5
INDIVIDUALIZING	4	Nhum	3a/13	4.5
INDOLENCE	2	Vqual	6d/2	9.6.2
INDOOR	4	Ndwel	9c/6	5.11.9.6
INDURATED	6	Vcos	6c/	9.5
INDURATION	2	Vcos	6c/	9.5
INDUSTRIOUS	14	Vadj	5c/3.1	9.6.1.2
INDUSTRY	8	Nart	9f/	5.11
INEDIBLE	4	Vadj	5c/8.2	
INEFFICIENT	6	Vadj	5c/8.2	9.6.2.1
INEFICIENT	2	Error	x/	x.x
INELASTIC	28	Vadj	5c/2.2	7.1.4.2
INERTNESS	4	Nabst	5a/	8.1
INEXPENSIVE	2	N$	9d/	5.9
INEXPERT	0	Vadj	5c/3.1	9.6.2.2
INF?	2	Error	x/	x.x
INFANCY	2	Nhum	3a/9.1	4.2.11
INFANT	2	Nhum	3a/9.1	4.2.11
INFANTRY	14	Nwar	9e/	5.15
INFANTS	2	Nhum	3a/9.1	4.2.11
INFECT	26	Vbp	1b/1.5.1	1.1.5.1
INFECTED	10	Vbp	1b/1.5.1	1.1.5.1
INFECTION	38	Nbp	1a/1.5.1	1.1.5.1
INFECT|ED	2	Error	x/	x.x
INFERENTIAL	2	G	8/	10.0
INFERIOR	14	Vadj	5c/8.2	9.6.2.1
INFEST	4	Vanim	2a.2/18	2.4.3
INFINITIVE	2	G	8/4.2.1	10.4.2.1
INFIRM	4	Vadj	5c/3.1	9.6.2.2
INFLAMED	4	Vcos	6c/	9.5
INFLATED	2	Vcos	6c/	9.5
INFLORESCENCE	2	Nveg	2b.1/3.1	3.1.4
INFLUENCE	2	Vpsi	5d/1.13.1	8.3.1.13.1
INFLUENZA	12	Nmed	9a/1	5.3
INFORM	20	Vutt	5f/14.2	8.5.14.2
INFREQUENT	28	Ntime	6i/	9.1.1
INGEST	2	Vbp	1b/3.5.7	1.3.5.8
INGESTING	2	Vbp	1b/3.5.7	1.3.5.8
INHABIT	4	Vact	4a/2.2	6.2.2.2
INHABITANT	2	Vact	4a/2.2	6.2.2.2
INHABITING	4	Vact	4a/	6.2
INHALE	72	Vbp	1b/1.2.2	1.1.2.2
INHERITANCE	54	N$	9d/	5.9
INITIAL	2	Vadj	5c/3.1	
INITIATE	4	Vadj	5c/3.1	9.5
INJECT	2	Vcut	4c.4/2	6.9.3
INJURE	24	Vharm	4b.1/	6.4
INJURED	8	Vharm	4b.1/	6.4
INJURIOUS	2	Vharm	4b.1/	6.4
INJURY	44	Nbp	1a/1.5.1	1.1.5.1
INK	270	Nwrit	9a/	5.1
INN	2	Ndwel	9c/1	5.11.9.1
INNE	0	Error	x/	x.x
INNER	60	Spat	6j/5	9.2.5
INNERMOST	6	Vadj	5c/2.1	9.2.5
INNOCENT	10	Vadj	5c/3.1	9.6.3
INQUIRE	12	Vutt	5f/7.1	8.5.7.1
INQUIRY	2	Vutt	5f/7.1	8.5.7.1
INSANE	222	Vpsi	5d/1.11.11	8.3.1.11.3
INSANE CRAZY	2	Vpsi	5d/1.11.11	
INSANE}	2	Error	x/	x.x
INSANITY	4	Vpsi	5d/1.11.11	8.3.1.11.3
INSCRIPTION	4	Nwrit	9a/	5.1
INSECT	262	Nanim	2a.1/14	2.2.6
INSECT?	24	Error	x/	x.x
INSECTS	20	Nanim	2a.1/14	2.2.6
INSERT	60	Vact	4a/	6.2
INSERT POKE	2	Vact	4a/	6.2
INSERTING	2	Vact	4a/	6.2
INSERTT	2	Error	x/	x.x
INSIDE	276	Spat	6j/5	9.2.5
INSINUATE	2	Vutt	5f/16	8.5.16
INSINUATION	6	Vutt	5f/16	8.5.16
INSIPID	4	Vadj	5c/8.2	9.6.2.1
INSIST	4	Vutt	5f/15	8.5.15
INSISTENCE	2	Vutt	5f/15	8.5.15
INSISTINGLY	2	Vutt	5f/15	8.5.15
INSOLENT	26	Vadj	5c/3.1	9.6.2.2
INSOMNIA	4	Nbp	1a/1.4.1	1.1.4.1
INSPECTOR	2	Nhum	3a/3.1	4.2.1
INSPIRE	4	Vpsi	5d/1.13.1	8.3.1.13.1
INSTALLMENT	2	x	x/	x.x
INSTANT	2	Ntime	6i/3	9.1.4
INSTANTLY	12	Ntime	6i/3	9.1.4
INSTEAD	2	G	8/2.1	10.2.1
INSTEP	57	Nbp	1a/5.2.2	1.5.2.2
INSTILL	2	Vabst	5b/	8.2
INSTRU	2	Error	x/	x.x
INSTRUCT	20	Vsoc	4f.1/	6.19
INSTRUCTION	4	Nart	9f/	5.11
INSTRUCTIONS	2	Vutt	5f/14.1	8.5.14.1
INSTRUMENT	218	Nmus	9a/	5.11.3
INSTRUMENTAL	2	Vadj	5c/8.1	10.0
INSUBS	2	Error	x/	x.x
INSUFFICIENT	38	Vadj	5c/8.2	9.6.2.1
INSUFFICIENT`	2	Error	x/	x.x
INSULENT	4	Error	x/	x.x
INSULT	48	Vutt	5f/2.1	8.5.2.1
INSULTED	2	Vutt	5f/2.1	8.5.2.1
INT	2	Error	x/	x.x
INTACT	2	Vadj	5c/8.3	5.14
INTEGUMENT	6	Nbp	1a/6.5.1	1.6.5.1
INTELLECT	10	Vpsi	5d/1.13.1	8.3.1.13.1
INTELLIGENCE	10	Vpsi	5d/1.13.1	8.3.1.13.1
INTELLIGENT	154	Vpsi	5d/1.13.1	8.3.1.13.1
INTEND	12	Vpsi	5d/1.13.2	8.3.1.13.2
INTENS	4	G	8/4.1.3	10.4.1.3
INTENSE	2	Vadj	5c/2.2	7.1.2.2
INTENSELY	8	Vadj	5c/2.2	7.1.2.2
INTENSIFIER	2	G	8/4.1.3	10.4.1.3
INTENSITI	0	Error	x/	x.x
INTENSITIVE	0	Error	x/	x.x
INTENTION	8	Vpsi	5d/1.13.2	8.3.1.13.2
INTENTIONALLY	2	Vpsi	5d/1.13.2	8.3.1.13.2
INTENTLY	2	Vpsi	5d/1.13.2	8.3.1.13.2
INTERCEPT	2	Vmot	4b.4/10	6.7.10
INTERCHANGE	4	Vutt	5f/8	8.5.8
INTERCOURSE	111	Nbp	1a/9.1.1	
INTEREST	128	Vpsi	5d/2.6.1	8.3.2.6.1
INTERESTING	4	Vpsi	5d/2.6.1	8.3.2.6.1
INTERFERE	4	Vabst	5b/	8.2
INTERI	0	Error	x/	x.x
INTERIOR	22	Spat	6j/5	9.2.5
INTERJECTION	28	G	8/8	10.7
INTERMEDIATE	6	Vadj	5c/8.3	9.2.5
INTERMITTENT	2	Vadj	5c/8.3	
INTERMIX	4	Vjoin	4d.2/3	6.13.4
INTERNAL ORGANS	19	Nbp	1a/7.0	1.7
INTERNALLY	4	Vadj	5c/5.1	
INTERPOSE	2	Vact	4a/1	6.1.1
INTERPRET	30	Vpsi	5d/	8.3
INTERPRETATION	2	Vpsi	5d/1.13.2	8.3.1.13.2
INTERPRETER	8	Vpsi	5d/	8.3
INTERR	6	G	8/4.2.1	10.4.2.1
INTERROG	2	Error	x/	x.x
INTERROGATE	38	Vutt	5f/7.1	8.5.7.1
INTERROGATIVE	10	G	8/4.2.1	10.4.2.1
INTERRUPT	8	Vutt	5f/8	8.5.8
INTERRUPTS	2	Vutt	5f/8	8.5.8
INTERSECT	4	Vadj	5c/5.1	
INTERSECTING	2	Vadj	5c/5.1	
INTERSTICE	6	Nnat	2c.1/8	3.2.7
INTERVAL	6	Ntime	6i/4	9.1.5
INTERVALS	2	Ntime	6i/4	9.1.5
INTERWEAVE	3	Nbp	1a/2.3.2	1.2.3.2
INTEST	0	Error	x/	x.x
INTESTINAL	12	Vbp	1b/7.7	1.7.7.3
INTESTINE	247	Nbp	1a/7.6	1.7.6
INTESTINE KIDNEY	1	Nbp	1a/7.6	1.7.6
INTESTINES	621	Nbp	1a/7.7	1.7.7
INTESTINES#	8	Error	x/	x.x
INTESTINES(tm)	0	Error	x/	x.x
INTHATCHING	2	Error	x/	x.x
INTIMACY	2	Vadj	5c/2.2	8.3.1.1.1
INTIMATE	4	Vadj	5c/2.2	8.3.1.1.1
INTO	718	G	8/1.1	10.1.1
INTOLERABLY	6	Vadj	5c/8.2	
INTOXICATED	24	Vpsi	5d/1.11.11	8.3.1.11.3
INTOXICATING	6	Vpsi	5d/1.11.11	8.3.1.11.3
INTOXICATION	2	Vpsi	5d/1.11.11	8.3.1.11.3
INTR	4	Error	x/	x.x
INTRA	2	Vadj	5c/5.1	
INTRANS	2	G	8/	10.0
INTRICATE	2	Vadj	5c/2.2	7.1.5.1
INTRODUCE	8	Vutt	5f/11	8.5.11.1
INTRODUCED	4	Vutt	5f/11	8.5.11.1
INTRUDE	4	Vfigh	4b.2/	6.5
INTSETINES	2	Error	x/	x.x
INVADE	4	Vfigh	4b.2/	6.5
INVALID	14	Nhum	3a/7.1	4.2.7
INVENT	6	Vmake	4d.3/	6.14
INVENTION	6	Vmake	4d.3/	6.14
INVERTEBRATE	2	Nanim	2a.1/18	2.3
INVESTIGATE	4	Vact	4a/2.2	6.2.2.2
INVESTIGATION	4	Vact	4a/2.2	6.2.2.2
INVIGILATE	2	Error	x/	x.x
INVISIBLE	10	Vbp	1b/2.6.9	1.2.6.11
INVITE	60	Vutt	5f/11	8.5.11.4
INVITED	2	Vutt	5f/11	8.5.11.4
INVOCATION	4	Vutt	5f/13	8.5.13
INVOKE	6	Vutt	5f/13	8.5.13
INVOLUNTARILY	4	Vadj	5c/10	7.1.8.3
INWARD	4	Vadj	5c/5.1	9.2.5
IN|SIDE	2	Error	x/	x.x
IRAWADDY	4	Nloc	6k/4.0	9.10.5
IRE	2	Vpsi	5d/	8.3
IRIS	63	Nbp	1a/2.6.2	1.2.6.2
IRON	414	Nnat	2c.1/5	3.2.4
IRONICAL	2	Nabst	5a/	8.1
IRONSMITH	4	Nnat	2c.1/5	3.2.4
IRONWOOD	2	Nveg	2b.1/1.1	3.1.1
IRONY	2	Nabst	5a/	8.1
IRREALIS	2	G	8/4.2.1	10.4.2.1
IRREGULAR	2	Vadj	5c/5.1	7.1.5.1
IRRELEVANT	2	Vadj	5c/8.2	9.6.2.1
IRRESOLUTE	2	Vadj	5c/8.2	
IRRIGATE	16	Vliq	4b.3/	6.6
IRRIGATED	6	Vliq	4b.3/	6.6
IRRIGATION	50	Vliq	4b.3/	6.6
IRRITABLE	2	Vadj	5c/3.1	9.6.2.2
IRRITANS	2	Error	x/	x.x
IRRITANT	0	Vadj	5c/3.1	1.1.5.1
IRRITATED	2	Vadj	5c/3.1	9.6.2.2
IRRITATION	4	Vqual	6d/2	9.6.2
ISCHIUM?	162	Error	x/	x.x
ISILIMB?	2	Error	x/	x.x
ISLAND	24	Nnat	2c.1/6	3.2.5
ISO	0	Error	x/	x.x
ISOLATED	2	Vadj	5c/6.1	7.1.6.1
ISOLATN	2	Error	x/	x.x
ISSUE	6	Nkin	3b/3	4.7.3
IT	138	Nabst	5a/	8.1
IT!	2	Error	/	x.x
IT?	4	Error	/	x.x
ITAL?	2	Error	x/	x.x
ITCH	586	Nbp	1a/6.5.4	1.6.5.5
ITCHING	8	Vbp	1b/6.5.4	1.6.5.5
ITCHY	138	Vbp	1b/6.5.4	1.6.5.5
ITEM	4	Nart	9f/	5.11
ITIVE	4	Error	x/	x.x
ITS	38	G	8/2.3.2	10.2.3.2
ITSELF	4	G	8/2.3.1	10.2.3.1
IT	2	Error	x/	x.x
IVORY	122	Nbp	1a/3.4.1	1.3.4.1
I	0	Error	x/	x.x
I	2	Error	x/	x.x
JACK-FRUIT	10	Nveg	2b.1/3.2	3.1.5
JACKAL	78	Nanim	2a.1/6	2.1.11
JACKALL	2	Error	x/	x.x
JACKET	4	Npers	3c/2.1.2	5.11.8.2.1.2
JACKFRUIT	18	Nveg	2b.1/3.2	3.1.5
JADDY?	2	Error	x/	x.x
JAGGERY?	4	Error	x/	x.x
JAIL	10	Ndwel	9c/1	5.11.9.1
JAILOR	6	Ndwel	9c/1	5.11.9.1
JAM	4	Nveg	2b.1/3.3.3	3.1.6.3
JAMB	2	Error	/	5.11.9.3
JANG	2	Error	x/	x.x
JANUARY	112	Ntime	6i/1	9.1.2
JAR	48	Ncont	9a/	5.11.1
JASPER	2	Nnat	2c.1/10	3.2.9
JATAMASI	2	Error	x/	x.x
JAVANICA	2	Nveg	2b.1/1.1	3.1.1
JAVANICUS	2	Nveg	2b.1/1.1	3.1.1
JAVELIN	2	Nwar	9e/	5.15
JAW	491	Nbp	1a/2.5.2	1.2.5.2
JAW-BONE	0	Nbp	1a/2.5.2	1.2.5.2
JAWBONE	20	Nbp	1a/2.5.2	1.2.5.2
JAWS	2	Nbp	1a/2.5.2	1.2.5.2
JEALOUSY	50	Vpsi	5d/2.6.2	8.3.2.6.2
JEAN	2	Ntxtl	9a/	5.1
JELLY	2	Nveg	2b.1/3.2	3.1.6
JEM	6	Error	x/	x.x
JERK	38	Vact	4a/2.2	6.2.2.2
JERKIN	0	Npers	3c/2.2	5.11.8.2.2
JERKY	2	Vact	4a/2.2	6.2.2.2
JEST	8	Vutt	5f/9	8.5.9
JET	2	Nnat	2c.1/10	3.2.9
JETBLACK	2	Col	6b/	9.4
JEW	0	Nhum	3a/1	4.6
JEW'S~HARP	120	Nmus	9a/	5.11.3
JEWEL	4	Npers	3c/3	5.11.8.3
JEWELERY	6	Error	x/	x.x
JEWELRY	2	Npers	3c/3	5.11.8.3
JEWS HARP	0	Nmus	9a/	5.11.3
JEWSHARP	24	Nmus	9a/	5.11.3
JEW	14	Error	x/	x.x
JHUM	8	Error	x/	x.x
JIEBA	2	Error	x/	x.x
JINGAL	2	Error	x/	x.x
JINGLE	4	Sound	6a/	9.3
JINGLINGLY	2	Sound	6a/	9.3
JOB	6	Nart	9f/	5.11
JOBSTEAR	24	Nveg	2b.1/3.1	3.1.4
JOB	8	Error	x/	x.x
JOG	2	Vmot	4b.4/4	6.7.4
JOIN	220	Vjoin	4d.2/5	6.13.5
JOINED	8	Vjoin	4d.2/5	6.13.5
JOINT	408	Nbp	1a/5.11	1.5.8
JOINTS	36	Nbp	1a/5.11	1.5.8
JOIN|ED	2	Error	x/	x.x
JOIST	2	Ncstr	9c/	5.11.9
JOKE	82	Vutt	5f/9	8.5.9
JOKING	8	Vutt	5f/9	8.5.9
JOLLY	6	Vpsi	5d/1.5.1	8.3.1.5.1
JOLT	2	Vmot	4b.4/3	6.7.3
JOMA	6	Error	x/	x.x
JOSTLE	4	Vmot	4b.4/3	6.7.3
JOT	2	Nwrit	9a/	5.1
JOURNEY	10	Vmot	4b.4/2	6.7.2
JOWL	10	Nbp	1a/2.5.2	1.2.5.2
JOY	2	Vpsi	5d/1.5.1	8.3.1.5.1
JOYFU	0	Error	x/	x.x
JOYFUL	2	Vpsi	5d/1.5.1	8.3.1.5.1
JUDGEMENT	68	Vsoc	4f.1/	6.19
JUDGMENT	64	Vpsi	5d/3.3.1	8.3.3.3.1
JUG	4	Ncont	9a/	5.11.1
JUICE	98	Nveg	2b.1/3.3.3	3.1.6.3
JUICY	2	Vveg	2b.2/	3.1.10
JUJUBE	10	Nveg	2b.1/1.1	3.1.1
JULY	108	Ntime	6i/1	9.1.2
JUMP	547	Vmot	4b.4/8	6.7.8
JUMPING	6	Vmot	4b.4/8	6.7.8
JUNCTION	8	Nloc	6k/1	9.10.1
JUNCTURE	2	Nloc	6k/1	9.10.1
JUNE	114	Ntime	6i/1	9.1.2
JUNGLE	152	Nnat	2c.1/6	3.2.5
JUNGLES	4	Nnat	2c.1/6	3.2.5
JUNIOR	6	Nkin	3b/3	4.7.3
JUNIPER	6	Nveg	2b.1/1.1	3.1.1
JUNK	0	Nwast	9a/	5.1
JUPITER	6	Nnat	2c.1/3	3.2.2
JUSSIVE	2	G	8/	10.0
JUST	240	Vadj	5c/10	9.1.1
JY~O	2	Error	x/	x.x
K	4	Error	x/	x.x
KAARDEN	2	Error	x/	x.x
KACHIN	4	Nhum	3a/1	4.6
KALEJO	2	Error	x/	x.x
KALIY-PHEASANT	2	Nanim	2a.1/11.2	2.2.4.1
KAPOK	12	Nveg	2b.1/1.1	3.1.1
KAREN	4	Nhum	3a/1	4.6
KA	2	Error	x/	x.x
KEEING	16	Error	x/	x.x
KEEN	12	Vadj	5c/3.1	9.6.1.2
KEENLY	4	Vadj	5c/3.1	
KEEP	232	Vhave	4e.4/	6.18
KEEPER	6	Vhave	4e.4/	6.18
KEEPING	4	Vhave	4e.4/	6.18
KEPT	8	Vhave	4e.4/	6.18
KERCHIEF	4	Npers	3c/2.2	5.11.8.2.2
KERNEL	16	Nveg	2b.1/1.2	3.1.2
KEROSENE	2	Nnat	2c.1/4	3.2.3
KESHUI	10	Error	x/	x.x
KETTLE	12	Ncook	9b/	5.5
KEY	180	Ntool	9a/	5.1
KHOKS	2	Error	x/	x.x
KHOPSI	4	Error	x/	x.x
KHUKRI	4	Ncook	9b/	5.5
KHUKURI	18	Ncook	9b/	5.5
KHURPI	2	Error	x/	x.x
KIBITZ	4	Nhum	3a/13	4.5
KICK	268	Vact	4a/2.3.4	6.2.2.3.3
KICKER	2	Vact	4a/2.3.4	6.2.2.3.3
KID	42	Nanim	2a.1/4	2.1.8
KIDNAPPING	2	Nkin	3b/3	4.7.3
KIDNEY	637	Nbp	1a/7.5	1.7.5
KIDNEYS	90	Nbp	1a/7.5	1.7.5
KIDS	2	Nanim	2a.1/4	2.1.8
KILL	569	Vharm	4b.1/	6.4
KILLED	10	Vharm	4b.1/	6.4
KIN-TERMS	6	Nkin	3b/5	4.7.5
KIND	574	Vpsi	5d/3.2.1	8.3.3.2.1
KIND?	4	Error	x/	x.x
KINDLE	49	Vburn	2c.2/	3.2.12.1
KINDLING	38	Nfire	2c.3/1	5.11.5.5
KINDLY	2	Vpsi	5d/3.2.1	8.3.3.2.1
KINDNESS	40	Vpsi	5d/3.2.1	8.3.3.2.1
KINDRED	2	Vpsi	5d/3.2.1	8.3.3.2.1
KINDS	18	Vpsi	5d/3.2.1	8.3.3.2.1
KING	82	Nhum	3a/5	4.2.5
KINGDOM	2	Nhum	3a/5	4.2.5
KINGFISHER	2	Nanim	2a.1/11.2	2.2.4.1
KINGS	8	Nhum	3a/5	4.2.5
KING`	2	Error	/	x.x
KINKY	2	Vadj	5c/5.1	7.1.5.1
KINSMAN	4	Nkin	3b/5	4.7.5
KINSWOMAN	2	Nkin	3b/5	4.7.5
KIRANTI	4	Nhum	3a/1	4.6
KIRA	2	Error	x/	x.x
KISS	297	Nbp	1a/3.2.2	1.3.2.2
KISSES	2	Nbp	1a/3.2.2	1.3.2.2
KITCHEN	50	Ncook	9b/	5.5
KITE	40	Nleis	9d/	5.8
KITTEN	8	Nanim	2a.1/7	2.1.3
KNEAD	158	Vfood	9b/	5.5
KNEADING	4	Vfood	9b/	5.5
KNED	4	Error	x/	x.x
KNEE	888	Nbp	1a/5.11.4	1.5.8.4
KNEE-CAP	0	Nbp	1a/5.11.4	1.5.8.4
KNEE-COVER	0	Nbp	1a/5.11.4	1.5.8.4
KNEE-DEEP	0	Vbp	1b/5.11.4	1.5.8.4.1
KNEECAP	32	Nbp	1a/5.11.4	1.5.8.4
KNEECOVERS	8	Nbp	1a/5.11.4	1.5.8.4
KNEEL	224	Vbp	1b/5.11.4	1.5.8.4.1
KNEELS	2	Vbp	1b/5.11.4	1.5.8.4.1
KNEEPAN	8	Nbp	1a/5.11.4	1.5.8.4
KNEES	2	Nbp	1a/5.11.4	1.5.8.4
KNIFE	529	Ncook	9b/	5.5
KNIT	18	Vmake	4d.3/	6.24
KNOB	4	Ncstr	9c/	5.11.9
KNOCK	126	Vhit	4c.1/	6.8
KNOCK~DOWN	20	Vhit	4c.1/	6.8
KNOCK~OVER	2	Vhit	4c.1/	6.8
KNOLL	2	Nnat	2c.1/6	3.2.5
KNOT	163	Nrope	9a/	5.11.4
KNOTTY	2	Nrope	9a/	5.11.4
KNOW	757	Vpsi	5d/1.12.1	8.3.1.12.1
KNOWER	4	Vpsi	5d/1.12.1	
KNOWLEDGE	12	Vpsi	5d/1.12.1	8.3.1.12.1
KNOWLEDGEAB	0	Error	x/	x.x
KNOWLEDGEABLE	4	Vadj	5c/3.1	9.6.1.2
KNOWN	16	Vpsi	5d/1.12.1	8.3.1.12.1
KNOWS?	2	Error	x/	x.x
KNUCKLE	85	Nbp	1a/5.11.5	1.5.8.5
KNUCKLES	12	Nbp	1a/5.11.5	1.5.8.5
KODALI	8	Error	x/	x.x
KOD=AL=I	8	Error	x/	x.x
KOE	4	Error	x/	x.x
KOLA	2	Nveg	2b.1/1.1	3.1.1
KOSI	6	Error	x/	x.x
KOU	2	Error	x/	x.x
KRISHNA	2	Nrel	9d/2.3	5.8.2.3
KR	2	Error	x/	x.x
KUKRI	4	Ncook	9b/	5.5
KULUNG	4	Nhum	3a/1	4.6
KUO-LO	6	Error	x/	x.x
KWET	2	Error	x/	x.x
K	2	Error	x/	x.x
"K""AL|I"	2	Error	x/	x.x
K	2	Error	x/	x.x
LABIA	43	Nbp	1a/9.3.2.1	1.9.5.1
LABOR	28	Vact	4a/1	6.1.1
LABORER	28	Vact	4a/1	6.1.1
LABOUR	10	Vact	4a/1	6.1.1
LABOURER	2	Vact	4a/1	6.1.1
LABU	2	Error	x/	x.x
LAC	40	Nanim	2a.1/14	2.2.6
LACERATE	2	Vcut	4c.4/1	6.9.2
LACES	8	Npers	3c/2.3	5.11.8.2.3
LACK	14	Vadj	5c/8.2	8.2
LACKING	10	Vadj	5c/8.2	9.6.2.1
LACQUER	2	Norn	9d/	5.8
LACQUERED	2	Norn	9d/	5.8
LADDER	283	Ntool	9a/2	5.11.5
LADDLE	0	Error	x/	x.x
LADLE	99	Ncook	9b/	5.5
LADY	6	Nhum	3a/5	4.2.5
LADYBIRD	2	Nanim	2a.1/11.2	2.2.4.1
LADYBUG	6	Nanim	2a.1/14	2.2.6
LAG	4	Vmot	4b.4/3	6.7.3
LAHUL	12	Nhum	3a/1	4.6
LAID	2	Vput	4e.3/	6.17
LAIR	7	Nanim	2a.1/18	2.3
LAISAG	6	Error	x/	x.x
LAKE	240	Nnat	2c.1/6	3.2.5
LALSA	2	Error	x/	x.x
LAMA	16	Nhum	3a/4	4.2.4
LAMAS	6	Nhum	3a/4	4.2.4
LAMB	20	Nanim	2a.1/4	2.1.8
LAMBSKIN	6	Nanim	2a.1/4	2.1.8
LAMDI	2	Error	x/	x.x
LAME	415	Vbp	1b/5.19	1.5.12
LAMELY	2	Vbp	1b/5.19	1.5.12
LAMENT	0	Vpsi	5d/1.5.2	8.3.1.5.2
LAMP	184	Nfire	2c.3/1	5.11.5.5
LANCE	6	Nwar	9e/	5.15
LAND	235	Nnat	2c.1/6	3.2.5
LAND LILY	2	Nveg	2b.1/3.1	3.1.4
LAND-LEECH	0	Nanim	2a.1/14	2.2.6
LAND-LILY	0	Nveg	2b.1/3.1	3.1.4
LANDING	12	Ndwel	9c/3.1	5.11.9.3.1
