hptbid	plg	protoform	gloss	pages	mainpage	init	allofams	semclass	semclass2	tags	etyma_links
54	PTB	*baːl	filth / excrement	385, 404, 407, 425		*b	*baːl	bodypart		?	
55	PTB	*ban/t ⪤ *pan/t	braid / plait / interweave	260, 518		*b	*ban/t ⪤ *pan/t	tool	clothe	2018	2018
56	PTB	*ban/t ⪤ *pan/t	thin	440		*b	*ban/t ⪤ *pan/t	bodypart		2143?	2143
57	PTB	*d-baŋ	strength	140		*b	*baŋ	bodypart		157,1840?	157,1840
58	PTB	*l-baŋ ⪤ *m-baŋ	deaf	267		*b	*baŋ	bodypart		1409	1409
59	PLB	*m-baŋ¹	lazy / tired of	265		*b	*baŋ	bodypart		?	
60	PTB	*s-baŋ	dung	264		*b	*baŋ	bodypart		2151	2151
61	PTB	*m-bap	fall over	336		*b	*bap	place		?	
62	PTB	*baːr	bloom / flower	384, 386, 387, 392, 425		*b	*baːr	plant		2153	2153
63	PTB	*bat	smell / odor	330		*b	*bat	bodypart		1421	1421
64	PTB	*bat	wind around	330		*b	*bat	tool	clothe	?	
65	PTB	*bay	repeat / practice	208, 220		*b	*bay	tool		?	
66	PTB	*be	bean / legume	203		*b	*be	plant		2155	2155
67	PTB	*be-s ⪤ *pe-s	break off a piece	204		*b	*be ⪤ *pe	tool		2156	2156
68	PLB	*ʔ-bəw²	grandfather	183		*b	*bəw	kinship		2582	2582
69	PTB	*bəw	carry on back	178, 199		*b	*bəw	bodypart		2177	2177
70	PTB	*bəw	insect / vermin / bug / snake	130, 139, 148, 154, 178, 184		*b	*bəw	animal		2178	2178
71	PLB	*bəw²	carry on back	183, 477		*b	*bəw	bodypart			
72	PLB	*bəw²	insect / vermin / bug / snake	19, 183		*b	*bəw	animal			
73	PTB	*bəy-k	give	132, 200, 442, 480		*b	*bəy	kinship		2158	2158
74	PLB	*bəy²	give	19		*b	*bəy	kinship			
75	PTB	*s-bəy-n	give	191		*b	*bəy	kinship			
76	PLB	*bi¹	anvil	187		*b	*bi	tool		?	
77	PLB	*ʔ-bikᴸ	mosquito	344		*b	*bik	animal		?	
78	PTB	*b/pip ⪤ *b/pup	conceal / hide (v.) / bury	352, 354, 370, 495, 498		*b	*bip ⪤ *pip ⪤ *bup ⪤ *pup	light		2157	2157
79	PTB	*r-bi(y)	left	219, 510		*b	*bi(y)	bodypart			
80	PTB	*ble	slip	203		*b	*ble	place		2159	2159
81	PTB	*m-blen	pus / boil (n.)	291		*b	*blen	bodypart		1292?	1292
82	PLB	*m-blen¹	pus	69, 74, 124		*b	*blen	bodypart			
83	PTB	*bleŋ ⪤ *pleŋ	straight(en)	281, 292		*b	*bleŋ ⪤ *pleŋ	tool		2160,818?	2160,818
84	PTB	*bliŋ	string / thread / cord	307		*b	*bliŋ	tool	clothe	?	
85	PLB	*ʔ-bliŋ¹	full / plenty	74		*b	*bliŋ ⪤ *pliŋ	bodypart		111	111
86	PTB	*bliŋ ⪤ *pliŋ	full / fill	281, 282, 296, 307, 496		*b	*bliŋ ⪤ *pliŋ	bodypart			
87	PLB	*ʔ-blu¹	porcupine	74, 113, 180, 241		*b	*blu	animal		?	
88	PTB	*blu-t-s	ransom	456		*b	*blu	kinship		?	
89	PTB	*s-blu	porcupine	74, 184		*b	*blu	animal			
90	PLB	*blum²	taro	273		*b	*blum	plant		?	
91	PTB	*bok	white	378		*b	*bok	light		1230	1230
92	PTB	*bop	calf of leg	381		*b	*bop	bodypart		1317	1317
93	PTB	*boy	cowlick	228		*b	*boy	bodypart		1473	1473
94	PTB	*bral ⪤ *pral	leave / depart / separate	423		*b	*bral ⪤ *pral	place		?	
95	PLB	*ʔ-bran³	spread wide	260		*b	*bran	tool		?	
96	PTB	*bran	convalesce	258, 386		*b	*bran	bodypart		2167	2167
97	PTB	*bran	ring (for finger)	69		*b	*bran	tool		329	329
98	PTB	*braŋ	give birth	264		*b	*braŋ	bodypart	reproductive	70,2168	70,2168
99	PTB	*s-braŋ	fly (n.) / bee	302		*b	*braŋ	animal		2788	2788
100	PTB	*brat ⪤ *prat	cut apart / cut open	334		*b	*brat ⪤ *prat	tool		1787	1787
101	PLB	*C-pratᴸ ⪤ *ʔ-bratᴸ	cut apart / cut into	330		*b	*brat ⪤ *prat	tool			1787
102	PTB	*bray	effaced	209		*b	*bray	light		?	
103	PLB	*bray²	flaring	209		*b	*bray	light		?	
104	PLB	*m-brəy¹	tears	124		*b	*brəy	bodypart		1769?	1769
105	PTB	*broŋ	wild yak / buffalo	294		*b	*broŋ	animal		2170	2170
106	PTB	*bruk	piebald / speckled	363		*b	*bruk	animal		?	
107	PTB	*s-brum	pregnant	308		*b	*brum	bodypart	reproductive	670	670
108	PTB	*m-bruŋ ⪤ *m-bruk	thunder / dragon	524		*b	*bruŋ ⪤ *bruk	animal		?	3629
109	PTB	*brup ⪤ *prup	overflow / flood	134, 369, 496		*b	*brup ⪤ *prup	water		2171	2171
110	PTB	*s-br(w)aŋ ⪤ *br(w)ak	speak	523		*b	*br(w)aŋ ⪤ *br(w)ak	kinship		1753	1753
111	PTB	*d-bu-s	head / center	140, 198, 442, 477	477	*b	*bu	bodypart		353	385,353
112	PTB	*s-bu	bud / open	184		*b	*bu	plant		2173	1811,2173
113	PTB	*d-bul ⪤ *d-bil	poor	419, 423		*b	*bul ⪤ *bil	kinship		?	
114	PTB	*bul ⪤ *pul	stump / tree / root	416, 424		*b	*bul ⪤ *pul	plant		2176	2176
115	PLB	*bun¹	finish	249, 279		*b	*bun	tool		?	
116	PTB	*buŋ	wind (n.)	531		*b	*buŋ	natural		?	6128
117	PTB	*m-bup	rot / spotted / write	369		*b	*bup	tool		?	
118	PTB	*bwa-n	grandmother	448		*b	*bwa	kinship		2181	2181
119	PTB	*bʷaŋ ⪤ *pʷaŋ	uncle / elder brother / senior male relative	269, 303		*b	*bʷaŋ ⪤ *pʷaŋ	kinship		2183	2183
120	PTB	*bwap ⪤ *s-bwam	swell up / be swollen / stout / calf of leg	252, 341, 518	252	*b	*bwap ⪤ *bwam	bodypart		163	163
121	PTB	*bʷar	spindle	61		*b	*bʷar	tool	clothe	?	
122	PTB	*bʷar ⪤ *hʷar	throw (away) / divorce (a spouse)	55, 394, 425		*b	*bʷar ⪤ *hʷar	place		2184,3528	2184,3528
123	PTB	*bʷar ⪤ *pʷar	fire	305		*b	*bʷar ⪤ *pʷar	light		2135,2152	2135,2152
124	PTB	*bʷat	flower	61		*b	*bʷat	plant			
125	PTB	*bʷay or *b(w)ay	left side / lefthand	61, 211, 214, 219, 510		*b	*bʷay	bodypart		2154	2154
126	PTB	*bwəy	bamboo rat	196		*b	*bwəy	animal		2186	2186
127	PTB	*bya	bee / bird	63, 68, 169, 171	171	*b	*bya	animal		2187	1605,2187
128	PLB	*bya²	bee	19, 34, 63		*b	*bya	animal			
129	PTB	*byam	fly (v.) / run	68, 118, 252, 257, 532	532	*b	*byam	place		2588?	2588
130	PLB	*byam¹	fly (v.)	19, 34, 74, 255		*b	*byam	place			2588
131	PTB	*byar ⪤ *pyar	affix / sew / plait / braid	390, 401		*b	*byar ⪤ *pyar	tool	clothe	2188	2188
132	PTB	*byer	fly (v.)	399, 402, 509		*b	*byer	place		2189	2189
133	PTB	*b(y)et	vulva / vagina	375		*b	*b(y)et	bodypart	reproductive	662?	662
134	PTB	*byon	go / come	291		*b	*byon	place		2190	2190
135	PLB	*ʔ-da¹	bow	163		*d	*da	tool		2688?	2688
136	PLB	*ʔ-da²	put / place	113		*d	*da	place			
137	PLB	*da¹	stick (n.)	163		*d	*da	tool		1468	1468
138	PTB	*m-da	arrow	50		*d	*da	tool		2191	2191
139	PLB	*m-da¹	fern / bracken	163, 164		*d	*da	plant		3566	3566
140	PTB	*da ⪤ *ta	negative imperative	162, 172		*d	*da ⪤ *ta	kinship		2681	2681
141	PLB	*dakᴸ	cockspur / hoof	317		*d	*dak	bodypart		2003	2003
