chapter	heading	semcat	subcat	cf	n
1a	Male Pubic Hair	Nbp	9.2.3		0
1a	Female	Nbp	9.3		9
1a	Breast	Nbp	9.3.1		6
1a	Milk	Nbp	9.3.1.1		6
1a	Wean	Nbp	9.3.1.3		2
1a	Vagina	Nbp	9.3.2		5
1a	Vulva/Labia	Nbp	9.3.2.1		5
1a	Clitoris	Nbp	9.3.2.2		0
1a	Egg	Nbp	9.3.3		10
1a	Menstruation	Nbp	9.3.3.1		2
1a	Womb/Uterus	Nbp	9.3.4		4
1a	Pregnant	Nbp	9.3.4.1		5
1a	Amniotic sac/Amniotic fluid	Nbp	9.3.4.2		2
1a	Placenta/Afterbirth	Nbp	9.3.4.3		2
1a	Female Pubic Hair	Nbp	9.3.5		0
1a	Navel/Center	Nbp	9.4		6
1a	Umbilical Cord	Nbp	9.4.1		2
1a	Mind	Nbp	10.0		10
9a	Containers	Ncont			52
9a	Conveyances	Nconv			30
9b	Cooking Implements	Ncook			42
9c	Construction	Ncstr			27
9d	Items of Culture	Ncult			69
9c	Dwellings	Ndwel			29
9c	Kinds of dwellings	Ndwel	1		18
9c	Rooms	Ndwel	2		7
9c	Parts of the structure	Ndwel	3		13
9c	Internal	Ndwel	3.1		16
9c	External	Ndwel	3.2		9
9c	Furnishings	Ndwel	4		31
9c	Outdoor/Temporary structures	Ndwel	5		10
9c	General	Ndwel	6		9
9c	Fasteners	Nfast		*	11
2c.3	Objects associated with fire	Nfire	1		21
2c.3	Fire, flames, and burnt things	Nfire	3.3		28
9b	Culinary  nouns	Nfood		*	48
3a	Ethnonyms/Place names	Nhum	1		56
3a	Pronouns	Nhum	2		27
3a	Roles	Nhum	3.0		0
3a	Occupations	Nhum	3.1		17
3a	Agriculture/Husbandry/Hunting	Nhum	3.1.1		6
3a	Commercial Roles	Nhum	3.1.2		2
3a	Artists and Artisans	Nhum	3.1.4		13
3a	Health-care	Nhum	3.1.5		5
3a	Ceremonial	Nhum	3.1.6		0
3a	General	Nhum	3.1.7		0
3a	Teacher-Student roles	Nhum	3.2		3
3a	General roles	Nhum	3.3		14
3a	Religious Roles	Nhum	4		13
3a	Nobility	Nhum	5		15
3a	Titles	Nhum	5.1.2		6
3a	Civil leaders	Nhum	5.2		6
3a	Owners	Nhum	5.4		5
3a	Military roles	Nhum	6		12
3a	Challenged	Nhum	7.1		9
3a	Marital roles	Nhum	7.2		15
3a	Sporting	Nhum	8		5
3a	Stages of growth	Nhum	9.1		16
3a	People	Nhum	9.2		2
3a	Servants	Nhum	10		9
3a	Criminals	Nhum	11.1		9
3a	Scary things	Nhum	11.2		12
3a	Insulting names	Nhum	11.3		8
