tag	grpid	form	gloss	variant	old_tag	source
230	50	swiᴮ	BLOOD		7230	TL#25
230	63	a-(h)jəjʔ	BLOOD		7655	PCN #108
230	42	swəy²	BLOOD			
230	12	C̥-həːy	BLOOD			
230	12	syi	BLOOD			
232	8	ruʔ	BONE		4922	PKC #922
232	66	ru	BONE		6778	DRM#365
232	63	a-rut	BONE		7735	PCN #188
232	50	khrwitᴰ	BONE		7236	TL#31
238	5	loŋ	BONE		2855	JS-HCST: 191
243	45	(C)-nokᴸ	BRAIN			
243	50	nokᴰ	BRAIN		7238	TL#33
243	42	s-nukᴴ	BRAIN			
247	8	khluak	BRAIN		5279	PKC #1279
251	66	niŋ	MIND / THINK / SOUL		6899	DRM#491, DRM#767
251	42	s-niŋ³	HEART			
252	5	pVk-ni?	BRAIN		6542	JS-HCST: 151
253	8	hnooy	BREAST		4886	PKC #886
253	66	nu	BREAST		6779	DRM#366
253	50	nu'	BREAST			
253	50	nuᴮ	BREASTS		7240	TL#35
257	42	makᴸ	SOLDIER		260	HPTB p.35
257	45	C-makᴸ	SOLDIER			
259	50	náun'	BREAST			
264	8	ɓiaŋ	CHEEK		4015	PKC #15
268	50	Ɂbɔᴬ	NECK, CHEEK		7405	TL#201
268	42	ba²	CHEEK			
271	8	ka- ⪤ kha-ɓee	CHIN		4018	PKC #18
273	8	kaa ⪤ khaa	CHIN / JAW (lower)	b	4265	PKC #265
273	66	kʰa	CHIN / JAW	b	6736	DRM#322
273	8	kaa	ENTRANCE / MOUTH	a	4278	PKC #278
273	66	ka	OPEN (MOUTH)	a	7022	DRM#624
273	50	kaᴮ	CHIN, JAW		7254	TL#49
273	63	ka	GAPE, OPEN MOUTH		7555	PCN #008
275	42	ʔ-nay¹/² ⪤ ʔ-ney²	FIBER / BAMBOO STRIP (for tying)		1449	cf. HPTB pp.216, 510
275	23	hnãi	FIBER			
289	66	tʰik	LUNG / CHEST		6966	DRM#563
293	12	lay	LEAF / BOOK			
294	8	ʔiŋ	ENDURE / FORBEAR		4482	PKC #482
296	66	duŋ	POUND (v.t.)		6905	DRM#498
296	50	dɔŋᴮ	POUND (v.)		7429	TL#225
296	5	dɯŋ ~ ǰɯŋ	BEAT / FLOG		6301	JS-HCST: 62
298	8	tuy	WATER / FLUID / LIQUID		4243	PKC #243
298	66	dɨ	WATER		6809	DRM#396
298	42	m/ʔ-titᴴ	WET / SOAK		7204	HPTB:351
298	50	thejᴬ	WATER		7529	TL#324
300	8	ɗu(u)y ⪤ tu(u)y	EGG		4079	PKC #79
300	66	dɨ	EGG		6806	DRM#393
300	50	Ɂdejᴮ	EGG		7304	TL#99
302	50	phrɨNᴬ	HORNET		7352	TL#148
302	50	pri̯umᴬ¹	HORNET			
303	42	yu¹	TAKE		2793	STC p.60
303	42	džu²	LOOSE / SLACK			
303	63	ju	CARRY / PUT		6488	tentative transcription; not in DWB-PCN
306	5	du	ELBOW		6673	JS-HCST: 154
309	8	kar ⪤ kal	BETWEEN		4259	PKC #259
316	5	pəː ~ pɯ	FART (n.)		6544	JS-HCST: 166
320	8	yuŋ	FINGER / TOE / ROOT		5201	PKC #1201
320	66	juŋ	ROOT		6906	DRM#500
320	63	m-juŋ	DIGIT (FINGER / TOE)		7771	PCN #224
336	50	khaŋᴮ	LEG			
337	8	kuun	BEND / DROOP / STOOP		4257	PKC #257
337	8	kuul	HUNCHBACKED		4293	PKC #293
338	8	kee ⪤ khee	FOOT / LEG		4283	PKC #283
343	8	phay	THIGH / LEG		4360	PKC #360
343	66	pʰej	FOOT / LEG		6816	DRM#403
343	63	phej	THIGH		7600	PCN #053
350	5	lə (~ le?)	LEG		6436	JS-HCST: 119
352	8	pha-lep	BUTTERFLY		4329	PKC #329
356	42	ʔ-na²	FOREHEAD		6726	DL:741
356	23	ᴬŋo	FOREHEAD			
363	8	mul ⪤ hmul	HAIR (body) / FUR / WOOL		4770	PKC #770
366	8	sʰam	HAIR (head)		4688	PKC #688
366	66	sam	HAIR (HEAD)		6848	DRM#436
366	63	a-tshaːm	HAIR (FACE / HEAD)		7668	PCN #121
366	63	a-həm	HAIR / LEAF / FEATHER		7695	PCN #148
369	63	a-hlej	BUY		7606	PCN #059
370	50	chuNᴮ	FEATHER / FUR / BODY HAIR			
380	8	niŋ-yak-I, -yaʔ-II	ASHAMED / SHY		4800	PKC #800
380	66	jak	ASHAMED		6954	DRM#550
380	63	a-hjak	SHY / ASHAMED		7800	PCN #253
381	66	taj	POUND / CRUSH		6792	DRM#379
381	45	ʔ-day² ⪤ tay¹	POUND / CRUSH			
381	45	ʔ-di²	POUND			
384	8	tsal	FOREHEAD / BROW		4538	PKC #538
384	12	tʰəːl	FACE		6711	WTF-PNN: 484
385	8	ʔuu	ELDER SIBLING		4480	PKC #480
386	66	kow	HEAD		6831	DRM#419
386	63	ku	HEAD		7620	PCN #073
398	66	pɐ	BUTTOCKS / HIP		7037	DRM#640
402	8	hnaʔ-tsaŋ	BANANA LEAF / PLANTAIN	a	4520	PKC #520
402	8	hnaʔ	LEAF / FOLIAGE	b	4896	PKC #896
402	5	nə	LEAF		6500	JS-HCST: 163
402	66	na	LEAF		6756	DRM#343
407	8	si(i)r	LATERAL / SIDE		4657	PKC #657
410	42	m-ba²/³	TAIL			
418	42	ʔdzik ⪤ *ʔdzak	JOINT		6719	JAM-TSR: 45
434	42	ʔ-nay²/³	COHESIVE / STICKY / ELASTIC			
436	42	put	KNEE		6721	RJL-DPTB: 70
443	42	s-krak ⪤ s-krok 	COLD / DRIED OUT / LEFTOVER	a	7200	JAM-TSR: 53
443	42	m-graŋ	COLD	b	7201	Benedict 72 STC: 39n124
443	63	a-tshak	COLD		7794	PCN #247
444	8	θim ⪤ θin	STORE / COLLECT		4631	PKC #631
444	23	ᴮtsim	STORE / PUT IN THE RIGHT PLACE			
446	68	paay	GO		4149	"PKC #149 (""PNC"")"
447	8	k(r)um	DECREASE / DESCEND / SHRINK		5316	PKC #1316
452	5	bel	LIP		6248	JS-HCST: 233
454	70	kam	BANK / SIDE / SHORE		4255	"PKC #255 (""PCC"")"
454	8	kam	MOUTH		4301	PKC #301
456	50	phlỳ' 	LIP			
457	8	tsuap	LUNG		4547	PKC #547
459	8	khlik ⪤ khliŋ	MARROW / SAP		5294	PKC #1294
459	66	tliŋ	MARROW		6986	DRM#584
459	42	ʔkraŋ¹ ⪤ ʔkyaŋ¹	MARROW			
467	8	hmuur	LIP / BEAK / MOUTH / TIP		4876	PKC #876
467	66	mor	MOUTH		6925	DRM#520
467	63	mən	MOUTH		7716	PCN #169
474	50	ɁaNᴬ	OPEN (THE MOUTH)		7412	TL#208
475	8	meet	SHAVE / PEEL OFF / PARE		4787	PKC #787
476	5	fi-buŋ	BEAK		6309	JS-HCST: 92
476	63	paŋ	MOUTH		7741	PCN #194
479	5	lɯŋ	NECK		6443	JS-HCST: 195
483	8	hŋooŋ	NECK / COLLAR		4916	PKC #916
487	50	Ɂamᴮ	EAT		7303	TL#98
489	66	rok	THROAT / LARYNX / VOICE		6985	DRM#583
490	8	ʔor	THROAT (outside)		4514	PKC #514
502	5	tɯŋ	DRINK		6636	JS-HCST: 195
502	42	m-daŋ¹ ⪤ m-doŋ¹	DRINK			
502	45	m-daŋ¹	DRINK			
502	45	ʔdaŋ¹	GIVE TO DRINK			
503	8	muut	BLOW / SMOULDER		4753	PKC #753
503	5	mut¹	BLOW (WITH MOUTH)		6471	JS-HCST: 207; note that ¹ is not a tone
503	42	s-mutᴴ	BLOW		16	HPTB pp.37, 315
503	45	s-mutᴴ	BLOW			
503	50	Ɂuᴬ	BLOW (a fire)		7231	TL#26
504	8	ha-nii ⪤ -hnii	GUMS		4816	PKC #816
511	63	m-[z/ʒ]a[ː]n	NAIL (bodypart)		7723	PCN #176
512	8	tin	NAIL / CLAW / HOOF			
512	23	ᴬtsʰin	NAIL			
517	8	laay	CENTER / MIDDLE / NAVEL		5000	PKC #1000
517	66	laj	NAVEL		6796	DRM#383
517	63	ph-laj	NAVEL, BELLY BUTTON		7598	PCN #051
519	50	Ɂdeᴬ	NAVEL, UMBILICAL CORD		7404	TL#200
521	42	ga³ ⪤ ʔga²	SING / DANCE / PLAY			
525	42	ʔ-kyakᴴ	ROPE / CORD / NAVEL			
530	5	fo	SINEW / VEIN		6310	JS-HCST: 100
530	63	a-saʔ	NERVE, VEIN / POWER, STRENGTH		7561	PCN #014
530	8	thaa	SINEW / TENDON / STRENGTH		4409	PKC #409
531	12	yəw	DESCEND			
531	8	tshuk/ŋ ⪤ yu-k/ŋ	SLOPE (downward) / DESCENT		4600	PKC #600
533	8	ruy ⪤ hruy	ROPE / CORD / STRING / RATTAN		4967	PKC #967
533	66	hroj	ROPE / STRING / THREAD NEEDLE		7134	DRM#756
533	50	reᴮ	RATTAN		7439	TL#235
533	63	a-(h)rəj	CANE, RATTAN		7657	PCN #110
540	8	khaak	PHLEGM / MUCUS		4454	PKC #454
540	29	khakma	SPUTUM			
540	5	kak	PHLEGM		6370	JS-HCST: 215
547	8	maak	SON-IN-LAW		4792	PKC #792
547	5	mak-bo	SON-IN-LAW		6445	JS-HCST: 213
547	66	maak	BROTHER-IN-LAW		6827	DRM#414
547	50	maɁᴰ	SON-IN-LAW		7471	TL#267
547	63	a-mjak	IN-LAW		7782	PCN #235
548	5	mrak	PENIS		6468	JS-HCST: 131
549	45	s-yakᴸ	BABY			
553	42	ʔ-nam¹	SIDE / RIB			
554	50	rəɁᴰ	FLANK, RIB		7322	TL#117
554	29	rem	RIB			
558	66	raap	RIB		6935	DRM#530
560	63	t-kuʔ	CHEST		7625	PCN #078
560	23	ᴬku	CHEST			
562	8	hlip	SCAB / SCALE		5048	PKC #1048
562	66	hlip	SCALE (OF FISH)		6938	DRM#533
562	68	lip	SCAB / SCALE			
563	8	liaŋ	SHOULDER / WALL-PLATE		5049	KEEP 6/2012 PKC #1049
563	50	pleŋᴬ	SHOULDER		7461	TL#257
565	42	ta	SHOULDER		3349	KEEP 6/2012
570	5	bak	CARRY ON BACK			
572	63	a-khləjʔ	FECES, EXCREMENT		7652	PCN #105
572	8	mik-khlii	TEARS		5306	PKC #1306
572	50	khrejᴮ	BODY DIRT		7234	TL#29
572	23	ᴬkli	FECES,SHIT			
574	5	lə-du	HEEL		6438	JS-HCST: 94
576	8	ʔeek	EXCREMENT / DUNG / STOOL		4483	PKC #483
576	5	eː	EXCREMENT		6057	JS-HCST: 146
576	50	ʔéq	EXCREMENT		6058	RBJ-KLS: 71
576	50	Ɂeᴮ	DUNG, EXCREMENT		7299	TL#94
580	8	ŋal	SHIN / SHANK		4866	PKC #866
586	5	kruk	OUTER COVERING		6398	JS-HCST: 132
587	42	say²	SAND			
587	45	say²	SAND			
587	12	ʔ-saːy	SAND			
590	50	pheɁᴰ	BARK (n.), LEATHER, SKIN		7217	TL#12
591	8	wun	SKIN (n.) / LEATHER		5169	PKC #1169
591	12	s-wun ⪤ wur	SKIN / FLESH			
591	5	pɯn	SKIN		6553	JS-HCST: 185
591	66	hol	SKIN / BARK		6912	DRM#506
593	66	kor	BARK		6924	DRM#519
593	12	C̬-kʰuar	SKIN			
596	42	m-k-rəy¹	SKIN / OUTER COVERING			
596	23	ᴬɖi	SKIN			
600	8	tsil	SPITTLE / SALIVA		4564	PKC #564
600	66	cer	SALIVA		7019	DRM#621
600	63	m-tʃə	SALIVA, SPITTLE / SPIT (v.)		7645	PCN #098
601	50	thuᴬ	SPIT (v.)		7474	TL#270
610	8	khlan	SWEAT / PERSPIRATION		5304	PKC #1304 KEEP 6/2012
614	23	ᴬdzin	FINISHED			
615	42	ʔ-grwəy²	SWEAT		2349	KEEP 6/2012 STC p.90
618	8	kril	FALL (leaves, fruits, hairs)		5319	PKC #1319
621	8	lay	TONGUE		5058	PKC #1058
621	66	lej	TONGUE		6823	DRM#410
621	50	bleᴬ	TONGUE		7512	TL#307
621	63	m-lej(ʔ)	TONGUE		7605	PCN #058
621	50	hlajᴮ	LICK (v.)		7368	TL#164
622	42	wəy²	FAR		2781	cf. STC p.61, HPTB p.195
623	5	rjo	TONGUE		6569	JS-HCST: 45
625	29	lem	TONGUE			
625	50	hlɛmᴮ	PUT OUT (THE TONGUE)		7435	TL#231
627	63	m-lju(k)	SWALLOW (v.)		7633	PCN #086
628	70	hliaw	LICK (flame) / ENVELOP ( flame)		5113	"PKC #1113 (""PCC"")"
629	8	liak-I, liaʔ-II	LICK / LAP		5030	PKC #1030
629	66	lek	LICK		6961	DRM#558
629	63	m-ljak	LICK		7805	PCN #258
629	42	m-lyak ⪤ ʔ-lyak	LICK			
629	45	m-lyakᴸ	LICK			
632	8	haa	TOOTH		4742	PKC #742
632	66	ha	TOOTH		6977	DRM#575
632	63	p-hwa	TOOTH		7574	PCN #027
632	5	fiː	TOOTH		3251	JS-HCST: 102
