lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
195	Padam-Mishing [Abor-Miri]	Abor	74	STC	adi	26	ABOR-MIRI	JHL-AM				also Miri [mrg]
196	Padam-Mishing [Abor-Miri]	Abor-Miri	74	STC	adi	26	ABOR-MIRI	JHL-AM				also Miri [mrg]
197	Achang	Ach	44	JAM-GSTC	acn	27	ACHANG					
198	Achang	Achang	44	PC	acn	27	ACHANG					
199	Achang	Achang	44	STC	acn	27	ACHANG					
200	Achang (Longchuan)	Achang41	44	ZMYYC	acn	29	ACHANG LO	ZMYYC	Acha2		2	
201	Achang (Lianghe)	AClh	44	JZ-Achang	acn	28	ACHANG LI	JZ-Achang	Acha1		1	
202	Achang (Lianghe)	Achang Lianghe	44	PC	acn	28	ACHANG LI					
203	Achang (Lianghe)	LHA	44	RJL-DPTB	acn	28	ACHANG LI	JZ-Achang				
204	Achang (Longchuan)	AClc	44	JZ-Achang	acn	29	ACHANG LO	JZ-Achang	Acha2		2	
205	Achang (Longchuan)	Achang Longchuan	44	PC	acn	29	ACHANG LO					
206	Achang (Longchuan)	LCA	44	RJL-DPTB	acn	29	ACHANG LO	JZ-Achang				
207	Achang (Luxi)	AClx	44	JZ-Achang	acn	30	ACHANG LU	JZ-Achang	Acha3		4	
208	Achang (Luxi)	LXA	44	RJL-DPTB	acn	30	ACHANG LU	JZ-Achang				
209	Achang (Xiandao)	Xiandao	44	DQ-Xiandao	xia	31	ACHANG X	DQ-Xiandao				
210	Ahi	Axi	47	CK-YiQ	yix	32	AHI	CK-YiQ	Ahi3		9	almost same dial. as ZMYYC #25 Yi:Mile
211	Ahi	Axi	47	DQ-Yi (Axi)	yix	32	AHI					? Does this exist?
212	Ahi	Ahi	47	JAM-Ety	yix	32	AHI					
213	Ahi	Ahi	47	JAM-GSTC	yix	32	AHI	YC-FAPL				
214	Ahi	Ahi	47	JAM-TSR	yix	32	AHI	YC-FAPL	Ahi1		6	
215	Ahi	Ahi	47	JAM-VSTB	yix	32	AHI	YC-FAPL				
216	Ahi	Ay	47	LMZ-AhiQ	yix	32	AHI	LMZ-AhiQ	Ahi2		8	
217	Ahi	Ahi	47	RJL-DPTB	yix	32	AHI	YC-FAPL				
