semkey	title	semcat	old_chapter	old_subchapter
6.1.1.4	Lie (down)	Vact	4a	1.4
6.1.1.4.1	Sit	Vact	4a	1.4.1
6.1.1.4.1.1	Sprawl	Vact	4a	1.4.2.1
6.1.1.4.2	Fall	Vact	4a	1.4.4
6.1.1.5	Hang	Vact	4a	1.5
6.1.1.6	Wait	Vact	4a	1.6
6.2	Action Verbs with Patient	Vact	4a	
6.2.2	Assorted action verbs			
6.2.2.1	Assorted action verbs	Vact	4a	2.1
6.2.2.2	Move an object	Vact	4a	2.2
6.2.2.2.1	Carry	Vact	4a	2.2.1
6.2.2.2.2	Bring	Vact	4a	2.2.3
6.2.2.3	?			
6.2.2.3.1	Push	Vact	4a	2.3.1
6.2.2.3.2	Pull	Vact	4a	2.3.2
6.2.2.3.3	Kick	Vact	4a	2.3.4
6.2.2.5	Cleaning			
6.2.2.5.1	Clear	Vact	4a	2.5.1
6.2.2.5.2	Wash (v.i./v.t.)	Vact	4a	2.5.2
6.2.2.5.3	Sweep	Vact	4a	2.5.3
6.2.2.6	Open/Close			
6.2.2.6.1	Open	Vact	4a	2.6.1
6.2.2.6.2	Close	Vact	4a	2.6.2
6.2.2.7	?			
6.2.2.7.1	Use	Vact	4a	2.7.1
6.2.2.7.2	Practice	Vact	4a	2.7.2
6.2.2.8	Show	Vact	4a	2.8
6.2.2.9	?			
6.2.2.9.1	Write	Vact	4a	2.9.1
6.2.2.9.2	Draw	Vact	4a	2.9.2
6.2.2.9.3	Read	Vact	4a	2.9.3
6.3	Friction	Vrub	4a.2	
6.4	Harm	Vharm	4b.1	
6.5	Fighting	Vfigh	4b.2	
6.5.1	Opposition		4b.2	8
6.6	Verbs requiring liquids	Vliq	4b.3	
6.6.1	Float	Vliq	4b.3	5
6.6.2	Dissolve	Vliq	4b.3	9
6.7	Movement			
6.7.1	Inward	Vmot	4b.4	1
6.7.2	Outward	Vmot	4b.4	2
6.7.3	Awkwardly, Irregularly, Abruptly	Vmot	4b.4	3
6.7.4	Regular, Cyclic, Smoothly	Vmot	4b.4	4
6.7.5	Medium Primary (e.g. air)	Vmot	4b.4	5
6.7.6	Circularly	Vmot	4b.4	6
6.7.7	Up, etc.	Vmot	4b.4	7
6.7.8	Downward	Vmot	4b.4	8
6.7.9	Manner is primary	Vmot	4b.4	9
6.7.10	Move with something else	Vmot	4b.4	10
6.7.11	Movement (general)	Vmot	4b.4	11
6.8	Striking, hitting verbs	Vhit	4c.1	
6.9	Undoing	Vundo	4c.5	
6.9.1	Peel		4c.4	
6.9.2	Carve, shave	Vcut	4c.4	1
6.9.3	Chop, slice	Vcut	4c.4	2
6.9.4	Mince, shred	Vcut	4c.4	3
6.10	Loss, separation	Vsep	4c.7	
6.10.1	Unintentional loss - Misplace	Vsep	4c.7	1.1
6.10.2	Intentional loss - Abandon	Vsep	4c.7	1.2
6.10.3	Wide separation - Scatter	Vsep	4c.7	2
6.10.4	Intentional separation - Sort	Vsep	4c.7	4
6.11	Digging, excavation	Vdig	4c.8	
6.12	Throwing	Vthrw	4c.9	
6.13	Convergence	Vjoin	4d.2	
6.13.1	Tying	Vjoin	4d.2	1.1
6.13.2	Adhesion	Vjoin	4d.2	1.2
6.13.3	With Tools	Vjoin	4d.2	1.3
6.13.4	Mix	Vjoin	4d.2	3
6.13.5	Join (general)	Vjoin	4d.2	5
6.14	Construction	Vmake	4d.3	
6.15	Repair	Vmend	4d.4	
6.16	Holding	Vhold	4e.2	
6.17	Putting	Vput	4e.3	
6.18	Possession	Vhave	4e.4	
6.19	Social action	Vsoc	4f.1	
6.20	Helping	Vhelp	4f.2	
6.21	Acquisitions	Vacq	4f.3	
6.22	Exchanges	Vexch	4f.4	
6.23	Giving	Vgive	4f.5	
7.0	Adjectival Verbs			
7.1	Adjectives and attributives	Vadj	5c	
7.1.1	Emotive	Vadj	5c	1
7.1.2	Quantity/Degree/Temperature			
7.1.2.1	Quantity - general	Vadj	5c	2.1
7.1.2.2	Degree	Vadj	5c	2.2
7.1.2.3	Temperature	Vadj	5c	2.4
7.1.3	Human qualities and appearance			
7.1.4	Sensations			
7.1.4.1	Sight	Vadj	5c	4.1
7.1.4.2	Feel/Tactile/Texture	Vadj	5c	4.2
7.1.4.3	Hear	Vadj	5c	4.3
7.1.4.4	Taste	Vadj	5c	4.4
7.1.4.5	Smell	Vadj	5c	4.5
7.1.5	Object Qualities			
7.1.5.1	General - form	Vadj	5c	5.1
7.1.5.3	Position - high/low	Vadj	5c	5.3
7.1.5.4	Position - front/back/side-side	Vadj	5c	5.4
7.1.6	Composition			
7.1.6.1	Single/part/few	Vadj	5c	6.1
7.1.6.2	Accompanied/whole/many	Vadj	5c	6.2
7.1.7	Importance/Significance			
7.1.7.1	Unique/important/special	Vadj	5c	7.1
7.1.7.2	Mundane/unimportant/same/routine	Vadj	5c	7.2
7.1.8	Evaluatives (but see also 7.1.3, 7.1.5, 9.6)			
9.6.1.1	Positive Qualities	Vadj	5c	8.1
9.6.2.1	Negative Qualities	Vadj	5c	8.2
7.1.8.3	Neutral term	Vadj	5c	8.3
7.1.10	MERGE WITH 6.7.3	Vadj	5c	10
7.1.11	Light/Dark			
7.1.11.1	Light	Vadj	5c	11.1
7.1.11.2	Dark	Vadj	5c	11.2
8.0	Abstract Nouns and Verbs, Psychological Verbs, Verbs of Utterance			
8.1	Abstract Entities	Nabst	5a	
8.2	Abstract verbs	Vabst	5b	
8.2.1	Be	Vabst	5b	1.2.3
8.3	Psychological verbs	Vpsi	5d	
8.3.1	Verbs of Feeling			
8.3.1.1	Like and Dislike			
8.3.1.1.1	Like	Vpsi	5d	1.1.1
8.3.1.1.2	Dislike	Vpsi	5d	1.1.2
8.3.1.1.3	Satisfied	Vpsi	5d	1.1.3
8.3.1.2	?			
