rn	type	text
387495	I	<par>Loan from Chinese, cf. Chinese bǎi 百’hundred’, yī一 &apos;one&apos;.</par>
387611	T	<par><latinform>ho dʑu</latinform> &apos;ten&apos; + <latinform>ʁuɑn</latinform> &apos;ten thousand&apos;</par>
387611	T	<par>last syl. borrowed from Chinese <hanform>万</hanform> <latinform>wàn</latinform> &apos;ten thousand&apos;</par>
395943	T	<par>The second syllable seems certainly to be a loan from Tibetan in this learned word.</par>
400238	T	<par>This is a possible loan from Shan, cf. Siamese <latinform>nám-ʔɔ̂j</latinform> &apos;sugar cane juice&apos;.</par>
400806	I	<par>Loan from Chinese, cf. Chinese 乾淨 gānjìng &apos;clean&apos;.</par>
400846	I	<par>Loan from Chinese, cf. Chinese 乾淨 gānjìng &apos;clean&apos;.</par>
401043	I	<par>Loan from Chinese, cf. Chinese qīngchu 清楚 &apos;clear&apos;.</par>
401081	I	<par>Loan from Chinese, cf. Chinese qīngchu 清楚 ‘clear’. </par>
404092	I	<par>Loan from Chinese, cf. Chinese biànhuà 變化 &apos;change&apos;.</par>
404114	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
404130	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
404131	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
404264	I	<par>Loan from Chinese, cf. Chinese bǔ 補 &apos;patch&apos;.</par>
404265	I	<par>Loan from Chinese, cf. Chinese bǔ 補 &apos;patch&apos;.</par>
404266	I	<par>Loan from Chinese, cf. Chinese bǔ 補 &apos;patch&apos;.</par>
404275	I	<par>Loan from Chinese, cf. Chinese bǔ 補 &apos;patch&apos;.</par>
413221	I	<par>Loan from Tibetan lo gsar.</par>
413222	I	<par>Loan from Tibetan lo gsar.</par>
413225	I	<par>Loan from Tibetan lo gsar.</par>
413226	I	<par>Loan from Tibetan lo gsar.</par>
413227	I	<par>Loan from Tibetan lo gsar.</par>
413229	I	<par>Loan from Tibetan lo gsar.</par>
413230	I	<par>Loan from Tibetan lo gsar.</par>
413237	I	<par>Loan from Tibetan lo gsar.</par>
413239	I	<par>Loan from Tibetan lo gsar.</par>
413247	I	<par>Loan from Chinese, cf. Chinese guònián 过年.</par>
414202	I	<par>Loan from Chinese, cf. Chinese huàn 換 &apos;change, exchange&apos;.</par>
417386	I	<par>It looks like there is a doublet in Tibetan: &apos;roll (e.g. rock)&apos; descends from <latinform>ril</latinform>, while &apos;roll up (cloth)&apos; descends from the prefixed form <latinform>sgril</latinform>.</par>
426315	T	<par>This Muya form may not be cognate.</par>
426621	I	<par>Second syllable may be loan from Chinese suàn 算 &apos;calculate&apos;.</par>
426629	I	<par>Second syllable may be loan from Chinese suàn 算 &apos;calculate&apos;.</par>
426647	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate’.</par>
426648	I	<par>Loan from Chinese, cf. Chinese suàn 算 ’calculate’.</par>
426649	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
426651	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
426652	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
426654	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
426656	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
426660	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
426661	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
427144	T	<par>The zero-initial in this Dulong form is unexplained.</par>
